kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
件;S5;6;3;Hito, Ninben, Hitoyane;ken;matter, case, item;-;-
条;S5;7;1;Ki, Kihen;joo;article, clause, item;-;-
仮;S5;6;1;Hito, Ninben, Hitoyane;ka, [ke];(Buddhist) vanity;kari;tempory, provisional
著;S5;11;2;Kusakanmuri;cho;literary work;arawa(su), ichijiru(shii);write, publish. remarkable, phenomenal
版;S5;8;2;Katahen;han;printing block or plate;-;-
判;S5;7;3;Katana, Rittoo;han, ban;stamp, seal;-;-
批;S5;7;1;Tehen;hi;strike;-;-
操;S5;16;1;Tehen;soo;manipulate, operate, steer;misao, ayatsu(ru);manipulate, operate, steer
腰;S5;13;2;Niku, Nikuzuki;yoo;hips, waist, loins, pelvic region;koshi;hips, waist, loins, pelvic region
吸;S5;6;3;Kuchi, Kuchihen;kyuu;inhale;su(u);inhale
胸;S5;10;2;Niku, Nikuzuki;kyoo;chest, breast, bosom;mune, [muna];chest, breast, bosom
栄;S5;9;2;Ki, Kihen;ei;prosperity, glory, splendor, honor;saka(eru), ha(e), ha(eru);prosper, flourish, thrive
胃;S5;9;2;Niku, Nikuzuki;i;stomach;-;-
抜;S5;7;3;Tehen;batsu;extract, unlock, pull out;nu(ku), nu(keru), nu(kasu), nu(karu);extract, unlock, pull out
磨;S5;16;2;Ishi, Ishihen;ma;polish, scour;miga(ku);polish, scour
汗;S5;6;2;Mizu, Sanzui, Shitamizu;kan;be sweaty;ase;perspiration
看;S5;9;1;Me, Mehen;kan;see;-;-
帯;S5;10;2;Haba, Kinben;tai;belt;o(biru), obi;belt, sash, girdle, band
湿;S5;12;2;Mizu, Sanzui, Shitamizu;shitsu;dampness, moisture;shime(ru), shime(su);get damp, get moist, get wet. wet, moisten, dampen 
蒸;S5;13;2;Kusakanmuri;joo;steam, heat up (with steam);mu(su), mu(reru), mu(rasu);steam, heat up (with steam)
吹;S5;7;3;Kuchi, Kuchihen;sui;breathe, blow;fu(ku);breathe, blow
燥;S5;17;2;Hi, Hihen, Renga;soo;dry up;-;-
豊;S5;13;2;Mame;hoo;abundant, rich, fruitful;yuta(ka);abundant, rich, fruitful
埋;S5;10;2;Tsuchi, Tsuchihen;mai;be filled up, be buried, be imbedded in ;u(meru), u(maru), u(moreru);be filled up, be buried, be imbedded in. bury, inter, fill up, pour in, plug up, inlay
湾;S5;12;2;Mizu, Sanzui, Shitamizu;wan;gulf, bay, inlet;-;-
浮;S5;10;3;Mizu, Sanzui, Shitamizu;fu;float, be floated, rise to the surface;u(ku), u(kareru), u(kabu), u(kaberu);float, be floated, rise to the surface
積;S5;16;3;Nogi, Nogihen;seki;product (in math);tsu(mu), tsu(moru);pile up, stack, lay
沈;S5;7;2;Mizu, Sanzui, Shitamizu;chin;aloes;shizu(mu), shizu(meru);sink, be submerged
泥;S5;8;2;Mizu, Sanzui, Shitamizu;dei;mud, mire;doro;mud, mire, dirt, slush
群;S5;13;2;Hitsuji;gun;group, crowd, gang, herd, swarm, flock;mu(reru), mu(re), [mura];crowd, flock, swarm
根;S5;10;2;Ki, Kihen;kon;root (of a plant);ne;root
針;S5;10;2;Kane, Kanehen;shin;needle;hari;needle, pin
枝;S5;8;2;Ki, Kihen;shi;branch, bow, twig, limb;eda;branch, bow, twig, limb
香;S5;9;2;Kaori;koo, [kyoo];incense, fragrance ;ka, kao(ri), kao(ru);smell, scent, odor
耕;S5;10;2;Sukihen;koo;plow, cultivate;tagaya(su);plow, cultivate
皮;S5;5;2;Kegawa;hi;skin;kawa;skin
含;S5;7;2;Kuchi, Kuchihen;gan;hold in the mouth;fuku(mu), fuku(meru);hold in the mouth
照;S5;13;2;Hi, Hihen, Renga;shoo;shine;te(ru), te(rasu), te(reru);shine. shine on, shed light on, illuminate
周;S5;8;2;Kuchi, Kuchihen;shuu;circuit, lap, circumference, vicinity;mawa(ri);rotation
極;S5;12;2;Ki, Kihen;kyoku, goku;end;kiwa(meru), kiwa(maru), kiwa(mi);terminate
裏;S5;13;2;Koromo, Koromohen;ri;inside;ura;reverse, wrong side
億;S5;15;2;Hito, Ninben, Hitoyane;oku;-;-;-
兆;S5;6;2;Hitoashi;choo;sign, omen, indication, portent;kiza(su), kiza(shi);show a signs or symptoms of. signs, omen, symptoms
逃;S5;9;3;Shinnyoo;too;flee, run away, escape;ni(geru), ni(gasu), noga(su), noga(reru);flee, run away, escape
異;S5;11;1;Ta, Tahen;i;uncommonness, strangeness, queerness;koto(naru);differ, vary
溶;S5;13;2;Mizu, Sanzui, Shitamizu;yoo;melt, dissolve, thaw;to(keru), to(kasu), to(ku);melt, dissolve, thaw. liquefy, melt
恐;S5;10;3;Kokoro, Risshinben, Shitagokoro;kyoo;fear, dread, be afraid;oso(reru), oso(roshii);fear, dread, be afraid
圧;S5;5;2;Tsuchi, Tsuchihen;atsu;press, oppress, dominate, overwhelm;-;-
怖;S5;8;3;Kokoro, Risshinben, Shitagokoro;fu;fear, be frightened;kowa(i);fearful, frightful, terrible, weird 
波;S5;8;2;Mizu, Sanzui, Shitamizu;ha;wave;nami;wave, billows
零;S5;13;2;Ame, Amekanmuri;rei;zero, nothing, cipher;-;-
亡;S5;3;3;Nabebuta;boo, [moo];my late, the late;na(-i);the late, the deceased
展;S5;10;1;Shikabane;ten;expand;-;-
捕;S5;10;3;Tehen;ho;catch, arrest, capture ;to(raeru), to(rawareru), to(ru), tsuka(maeru), tsuka(maru);catch, arrest, capture. be caught, be captured. be arrested
宝;S5;8;2;Ukanmuri;hoo;treasure;takara;treasure, valuables
棒;S5;12;2;Ki, Kihen;boo;stick, cane, rod, pole, stake, pile, club, bar;-;-
輪;S5;15;2;Kuruma, Kurumahen;rin;ring, circle;wa;circle, ring, link, wheel, hoop, loop 
爆;S5;19;2;Hi, Hihen, Renga;baku;burst open, pop, split;-;-
因;S5;6;3;Kunigamae;in;cause, factor;yo(ru);depend on, be limited to
捜;S5;10;2;Tehen;soo;search, look for, locate;saga(su);search, look for, locate
識;S5;19;3;Gon, Gonben;shiki;know, discriminate, write;-;-
居;S5;8;3;Shikabane;kyo;residence;i(ru);be, exist
疑;S5;14;3;Hiki;gi;doubt;utaga(u);doubt
罪;S5;13;3;Amigashira;zai;sin, crime, offense, guilt, blame, fault, misconduct ;tsumi;sin, crime, offense, guilt, blame, fault, misconduct 
叫;S5;6;2;Kuchi, Kuchihen;kyoo;shout, exclaim, cry, yell, roar, howl;sake(bu);shout, exclaim, cry, yell, roar, howl
況;S5;8;2;Mizu, Sanzui, Shitamizu;kyoo;still more, still less (neg.);-;-
殺;S5;10;3;Rumata;satsu, [sai], [setsu];kill, murder, butcher;koro(su);kill, murder, butcher
追;S5;9;3;Shinnyoo;tsui;drive away;o(u);drive away
灰;S5;6;2;Hi, Hihen, Renga;kai;ashes;hai;ashes
暴;S5;15;2;Nichi, Nichihen;boo, [baku];violence, force, outrage, cruelty;aba(ku), aba(reru);rage, rave, fret
退;S5;9;3;Shinnyoo;tai;retreat, withdraw;shirizo(ku), shirizo(keru);retreat, withdraw
勢;S5;13;2;Chikara;sei;energy;ikio(i);force, vigor, energy, spirit, life
延;S5;8;2;Ennyoo;en;stretching;no(biru), no(beru), no(basu);extend, lengthen, stretch, spread
争;S5;6;3;Ku;soo;dispute, argue;araso(u);dispute, argue, be at variance, compete
敗;S5;11;3;Nobun;hai;defeat, reversal;yabu(reru);be defeated
委;S5;8;2;Onna, Onnahen;i;entrust to, discard;yuda(neru);entrust to, devote (oneself) to
訪;S5;11;3;Gon, Gonben;hoo;visit, call on;otozu(reru), tazu(neru);visit, call on. look up
競;S5;20;2;Tatsu;kyoo, kei;emulate, compete with;kiso(u), se(ru);emulate, compete with
依;S5;8;2;Hito, Ninben, Hitoyane;i, [e];depend on;-;-
略;S5;11;2;Ta, Tahen;ryaku;abbreviation, abridgment;-;-
与;S5;3;3;Ichi;yo;give, award, impart, provide, allot, cause (pain or damage) ;ata(eru);give, award, impart, provide, allot, cause (pain or damage) 
炭;S5;9;2;Hi, Hihen, Renga;tan;charcoal;sumi;charcoal
鉱;S5;13;2;Kane, Kanehen;koo;ore;-;-
標;S5;15;1;Ki, Kihen;hyoo;signpost;-;-
漁;S5;14;2;Mizu, Sanzui, Shitamizu;gyo, ryoo;fishing;-;-
複;S5;14;2;Koromo, Koromohen;fuku;double, compound, composite, multiple;-;-
制;S5;8;3;Katana, Rittoo;sei;system, organization;-;-
純;S5;10;2;Ito, Itohen;jun;purity, innocence;-;-
層;S5;14;2;Shikabane;soo;(social) class;-;-
訓;S5;10;2;Gon, Gonben;kun;Japanese reading (of a character);-;-
善;S5;12;1;Kuchi, Kuchihen;zen;good, goodness, right, virtue;yo(i);good, good-natured
般;S5;10;2;Fune, Funehen;han;carry;-;-
完;S5;7;3;Ukanmuri;kan;comletion, end;-;-
貿;S5;12;2;Kai, Kaihen;boo;exchange;-;-
貧;S5;11;3;Kai, Kaihen;hin, bin;poverty;mazu(shii);poor, destitute
雇;S5;12;2;Furutori;ko;employ, hire;yato(u);employ, hire
軒;S5;10;2;Kuruma, Kurumahen;ken;house counter;noki;eaves
害;S5;10;3;Ukanmuri;gai;injury, harm, damage, mischief, interference;-;-
被;S5;10;2;Koromo, Koromohen;hi;receiving;koomu(ru);get, receive, sustain (an injury), be subjected to (criticism)
損;S5;13;2;Tehen;son;loss;soko(nau), soko(neru);harm, hurt, injure, damage, mar
乱;S5;7;2;Otsu, Otsunyoo;ran;riot, rebellion, war;mida(reru), mida(su);put in disorder
応;S5;7;1;Kokoro, Risshinben, Shitagokoro;oo;yes, all right;kota(eru);respond, answer
律;S5;9;2;Gyooninben;ritsu, [richi];law, regulation;-;-
賛;S5;15;3;Kai, Kaihen;san;praise;-;-
軍;S5;9;2;Kuruma, Kurumahen;gun;army, force, troops;-;-
兵;S5;7;2;Hachi;hei, hyoo;soldier, private;-;-
郊;S5;9;2;Oozato;koo;suburbs;-;-
党;S5;10;2;Shoo;too;party, faction, clique;-;-
毒;S5;8;2;Haha, Hahanokan;doku;poison;-;-
互;S5;4;3;Ni;go;mutually, reciprocally, together;taga(i);mutually, reciprocally, together
刊;S5;5;2;Katana, Rittoo;kan;publishig;-;-
却;S5;7;1;Fushizukuri, Warifu;kyaku;instead, on the contrary;-;-
択;S5;7;1;Tehen;taku;choose, select;-;-
炎;S5;8;1;Hi, Hihen, Renga;en;inflammation;honoo;flame, blaze
往;S5;8;1;Gyooninben;oo;let go;-;-
祉;S5;8;1;Shimesu, Shimesuhen;shi;happiness;-;-
昇;S5;8;2;Nichi, Nichihen;shoo;rise, ascend, go up, climb;nobo(ru);rise, ascend, go up, climb
典;S5;8;1;Hachi;ten;ceremony, celebration;-;-
房;S5;8;1;To, Tokanmuri;boo;house, room;fusa;tuft, tassel, fringe
肪;S5;8;1;Niku, Nikuzuki;boo;fat;-;-
免;S5;8;1;Hitoashi;men;dismissal;manuka(reru);escape from, be rescued from, avoid, evade, avert, elude, be exempted, be relieved from pain, get rid of 
為;S5;9;1;Hi, Hihen, Renga;i;change;-;-
架;S5;9;1;Ki, Kihen;ka;frame, mount, stand, support;ka(keru), ka(karu);build (a bridge), hang
枯;S5;9;2;Ki, Kihen;ko;wither, die, be dead;ka(reru), ka(rasu);wither, die, be dead
荒;S5;9;2;Kusakanmuri;koo;rough, rude, wild, harsh, violent, gruff, fierce ;ara(i), a(reru), a(rasu);rough, rude, wild, harsh, violent, gruff, fierce. be ruined, become stormy
削;S5;9;1;Katana, Rittoo;saku;plane, sharpen, whittle, pare, shave (leather);kezu(ru);plane, sharpen, whittle, pare, shave (leather)
染;S5;9;1;Ki, Kihen;sen;be dyed, be imbued with, be tainted with;so(meru), so(maru), shi(miru), shi(mi);be dyed, be imbued with, be tainted with. dye, color, paint. soak in, permeate, infiltrate
恩;S5;10;1;Kokoro, Risshinben, Shitagokoro;on;kindness, goodness, favor, mercy, blessing, benefit;-;-
剤;S5;10;1;Katana, Rittoo;zai;medicine, drug, dose;-;-
脂;S5;10;2;Niku, Nikuzuki;shi;fat, rouge;abura;fat, grease, tallow, blubber, lard, suet
修;S5;10;1;Hito, Ninben, Hitoyane;shuu, [shu];govern oneself, conduct oneself well;osa(meru), osa(maru);govern oneself, conduct oneself well. study, complete (a course)
症;S5;10;1;Yamaidare;shoo;illness;-;-
振;S5;10;1;Tehen;shin;wave, wag, swing, shake;fu(ru), fu(ruu), fu(reru);wave, wag, swing, shake
粋;S5;10;1;Kome, Komehen;sui;purity, essence, pith, cream, pick, elite, choice;iki;chic, style
素;S5;10;1;Ito, Itohen;so, su;principle;-;-
畜;S5;10;2;Ta, Tahen;chiku;domesticated fowl and animals;-;-
納;S5;10;1;Ito, Itohen;noo, [naQ], [na], [nan], [too];obtain, reap;osa(meru), osa(maru);obtain, reap
掛;S5;11;3;Tehen;-;-;ka(keru), ka(karu), kakari;hang on, be suspended from, be caught, be trapped
郷;S5;11;1;Oozato;kyoo, goo;village, native place;-;-
掘;S5;11;2;Tehen;kutsu;dig, delve;ho(ru);dig, delve
掲;S5;11;1;Tehen;kei;put up, hang out, hoist, display;kaka(geru);put up, hang out, hoist, display
渓;S5;11;1;Mizu, Sanzui, Shitamizu;kei;valley;-;-
蛍;S5;11;1;Mushi, Mushihen;kei;firefly;hotaru;firefly
採;S5;11;2;Tehen;sai;take, hold, seize, catch, capture;to(ru);take, hold, seize, catch, capture
逮;S5;11;1;Shinnyoo;tai;chase;-;-
粒;S5;11;2;Kome, Komehen;ryuu;grain, drop;tsubu;grain, drop
偉;S5;12;3;Hito, Ninben, Hitoyane;i;greatness;era(i);great, famous, excellent, remarkable
賀;S5;12;1;Kai, Kaihen;ga;congratulations, felicitations, compliments, joy of the occasion;-;-
裁;S5;12;1;Koromo, Koromohen;sai;judge;ta(tsu), saba(ku);judge. cut out (a suit)
粧;S5;12;0;Kome, Komehen;shoo;adorn (one's person);-;-
証;S5;12;1;Gon, Gonben;shoo;proof, evidence;-;-
診;S5;12;1;Gon, Gonben;shin;seeing;mi(ru);diagnose, examine
酢;S5;12;1;Tori, Torihen;saku;vinegar;su;vinegar
絶;S5;12;3;Ito, Itohen;zetsu;be beyond (words);ta(eru), ta(yasu), ta(tsu);become extinct, die out, discontinue, end, fail, peter out. exterminate, root out
隊;S5;12;1;Kozatohen;tai;party, company, corps, squad, crew, band, posse, force, unit;-;-
塔;S5;12;2;Tsuchi, Tsuchihen;too;tower, pagoda, steeple, obelisk, monument;-;-
統;S5;12;1;Ito, Itohen;too;relationship;su(beru);control, supervise, govern
鈍;S5;12;2;Kane, Kanehen;don;dullness, slowness, foolishness;nibu(i), nibu(ru);dull, slow
惑;S6;12;1;Kokoro, Risshinben, Shitagokoro;waku;be perplexed, be in doubt, hesitate, vacillate, go astray, err;mado(u);be perplexed, be in doubt, hesitate, vacillate, go astray, err
鉛;S6;13;1;Kane, Kanehen;en;lead(metal);namari;lead(metal)
頑;S6;13;1;Oogai;gan;stubborn;-;-
携;S6;13;1;Tehen;kei;carry (in the hand);tazusa(eru), tazusa(waru);carry (in the hand)
継;S6;13;1;Ito, Itohen;kei;succeed to, inherit;tsu(gu);succeed to, inherit
源;S6;13;1;Mizu, Sanzui, Shitamizu;gen;source, origin;minamoto;source, origin
傷;S6;13;1;Hito, Ninben, Hitoyane;shoo;wound, injury;kizu, ita(mu), ita(meru);wound, injury, hurt
睡;S6;13;1;Me, Mehen;sui;sleep, die;-;-
腸;S6;13;1;Niku, Nikuzuki;choo;intestines, bowels, entrails;-;-
塗;S6;13;2;Tsuchi, Tsuchihen;to;paint;nu(ru);paint
漠;S6;13;1;Mizu, Sanzui, Shitamizu;baku;vague, obscure;-;-
障;S6;14;1;Kozatohen;shoo;hinder, interfere with;sawa(ru);hinder, interfere with
憎;S6;14;2;Kokoro, Risshinben, Shitagokoro;zoo;hate, detest;niku(mu), niku(i), niku(rashii), niku(shimi);hate, detest. hateful, abominable
態;S6;14;1;Kokoro, Risshinben, Shitagokoro;tai;condition, figure, appearance;-;-
滴;S6;14;2;Mizu, Sanzui, Shitamizu;teki;drop;shizuku, shitata(ru);drop. drip, trickle
銅;S6;14;2;Kane, Kanehen;doo;copper;-;-
領;S6;14;2;Oogai;ryoo;dominion, territory possession, fief;-;-
鋭;S6;15;2;Kane, Kanehen;ei;sharpness;surudo(i);pointed, sharp
儀;S6;15;1;Hito, Ninben, Hitoyane;gi;rule;-;-
権;S6;15;3;Ki, Kihen;ken, [gon];authority, power, rights, concession;-;-
膚;S6;15;2;Niku, Nikuzuki;fu;skin, body;-;-
避;S6;16;1;Shinnyoo;hi;avoid, avert, ward off, keep aloof from, stay away from;sa(keru);avoid, avert, ward off, keep aloof from, stay away from
厳;S6;17;1;Tsukanmuri;gen, [gon];strictness, severity;ogoso(ka), kibi(shii);austere, majestic, severe, strict
縮;S6;17;1;Ito, Itohen;shuku;shrink, contract, shrivel, wrinkle;chiji(mu), chiji(maru), chiji(meru), chiji(reru), chiji(rasu);shrink, contract, shrivel, wrinkle. be shortened, be contracted, be reduced, be abridged
敵;S6;15;1;Nobun;teki;enemy, foe, opponent;kataki;enemy
織;S6;18;1;Ito, Itohen;shoku, shiki;weaveing;o(ru);weave
礎;S6;18;1;Ishi, Ishihen;so;foundation stone, cornerstone;ishizue;foundation stone, cornerstone
己;S6;3;1;Onore;ko, ki;sixth;onore;oneself, myself, yourself
援;S6;12;1;Tehen;en;help, save;-;-
企;S6;6;1;Hito, Ninben, Hitoyane;ki;plan, plot, propose, design, intend, contemplate;kuwada(teru);plan, plot, propose, design, intend, contemplate
貴;S6;12;1;Kai, Kaihen;ki;value, prize, esteem;tatto(i), tooto(i), tatto(bu), tooto(bu);value, prize, esteem
紀;S6;9;1;Ito, Itohen;ki;account, narrative, history, annals, geological period;-;-
激;S6;16;1;Mizu, Sanzui, Shitamizu;geki;get excited, be agitated, be enraged, be exasperated, chafe;hage(shii);violent, vehement, furious, severe, acute, intense, extreme, passionate, heated, stormy (applause)
功;S6;5;1;Chikara;koo, [ku];merits, meritorious deeds;-;-
購;S6;17;1;Kai, Kaihen;koo;buy;-;-
盛;S6;11;1;Sara;sei, [joo];prosper, flourish;mo(ru), saka(ru), saka(n);serve, fill
占;S6;5;2;Uranai;sen;occupy, hold, have, get, take (a seat);shi(meru), urana(u);occupy, hold, have, get, take (a seat). divine, forecast, augur 
創;S6;12;1;Katana, Rittoo;soo;wound, injury, hurt;tsuku(ru);-
趣;S6;15;1;Hashiru, Soonyoo;shu;proceed to;omomuki;import, meaning, contents. tenor, gist
乏;S6;4;1;No;boo;meager, scarce, limited;tobo(shii);meager, scarce, limited
派;S6;9;1;Mizu, Sanzui, Shitamizu;ha;group, party, clique;-;-
距;S6;12;1;Ashi, Ashihen;kyo;be distant;-;-
併;S6;8;1;Hito, Ninben, Hitoyane;hei;get together, unite ;awa(seru);get together, unite 
双;S6;4;2;Mata;soo;a pair;futa;-
興;S6;16;1;Usu;koo, kyoo;interest, entertainment, pleasure ;oko(ru), oko(su);rise, flourish. revive, retrieve (fortunes), raise up 
挙;S6;10;1;Te;kyo;plan, project;a(geru), a(garu);celebrate (a ceremony)
憲;S6;16;1;Kokoro, Risshinben, Shitagokoro;ken;law;-;-
護;S6;20;1;Gon, Gonben;go;defend, protect;-;-
災;S6;7;1;Hi, Hihen, Renga;sai;calamity, misfortune, woe, evil, curse;wazawa(i);calamity, misfortune, woe, evil, curse
需;S6;14;1;Ame, Amekanmuri;ju;request, need;-;-
渉;S6;11;1;Mizu, Sanzui, Shitamizu;shoo;cross, ford, ferry;-;-
亜;S6;7;1;Ni;a;rank next, come after, Asia, sub-, -ous (in acids);-;-
仰;S6;6;1;Hito, Ninben, Hitoyane;gyoo, [koo];look up;ao(gu), oo(se);look up
飽;S6;13;1;Shoku, Shokuhen;hoo;get tired of, lose interest in, have enough ;a(kiru), a(kasu);get tired of, lose interest in, have enough. satiate, surfeit
握;S6;12;1;Tehen;aku;grasp, hold;nigi(ru);grasp, hold
鮮;S6;17;1;Uo, Uohen;sen;Korea;aza(yaka);vivid, clear, brilliant, fresh, graceful, splendid, beautiful
焦;S6;12;1;Hi, Hihen, Renga;shoo;burn, scorch, singe, char;ko(geru), ko(gasu), ko(gareru), ase(ru);burn, scorch, singe, char. pine for. yearn for
扱;S6;6;1;Tehen;-;-;atsuka(u);treat
跡;S6;13;2;Ashi, Ashihen;seki;mark, print, impression;ato;mark, print, impression
穴;S6;5;1;Ana, Anakanmuri;ketsu;hole, aperture, slit;ana;hole, aperture, slit
泡;S6;8;1;Mizu, Sanzui, Shitamizu;hoo;bubble, foam, froth, scum, suds ;awa;bubble, foam, froth, scum, suds 
井;S6;4;1;Ni;sei, [shoo];well;i;well
緯;S6;16;1;Ito, Itohen;i;woof;-;-
維;S6;14;1;Ito, Itohen;i;tie, rope;-;-
遺;S6;15;1;Shinnyoo;i, [yui];leave behind;-;-
致;S6;10;1;Itaru;chi;do;ita(su);do
至;S6;6;1;Itaru;shi;go, proceed, come;ita(ru);go, proceed, come
挑;S6;9;1;Tehen;choo;challenge;ido(mu);challenge
稲;S6;14;1;Nogi, Nogihen;too;rice plant;ine, [ina];rice plant
促;S6;9;1;Hito, Ninben, Hitoyane;soku;urge, press, demand;unaga(su);urge, press, demand
梅;S6;10;1;Ki, Kihen;bai;plum, plum tree;ume;plum, plum tree
描;S6;11;1;Tehen;byoo;write, compose;ega(ku), ka(ku);write, compose
益;S6;10;1;Sara;eki, [yaku];gain, benefit, profit, use, advantage;-;-
沿;S6;8;1;Mizu, Sanzui, Shitamizu;en;following along;so(u);run along
皇;S6;9;1;Shiro;koo, oo;emperor;-;-
沖;S6;7;1;Mizu, Sanzui, Shitamizu;chuu;offing, open sea;oki;offing, open sea
叔;S6;8;1;Mata;shuku;uncle;-;-
伯;S6;7;1;Hito, Ninben, Hitoyane;haku;count;-;-
雄;S6;12;1;Furutori;yuu;male;o, osu;male
陥;S6;10;1;Kozatohen;kan;fall into, get into, slide into, lapse into;ochii(ru), otoshii(reru);fall into, get into, slide into, lapse into
華;S6;10;1;Kusakanmuri;ka, [ke];flower, petal, shining, luster, China;hana;flower
我;S6;7;1;Hokogamae, Hokozukuri;ga;ego, self, selfishness, egotism;ware, wa;I, oneself, self, ego
悔;S6;9;1;Kokoro, Risshinben, Shitagokoro;kai;repend, regret;ku(iru), ku(yamu), kuya(shii);repend, regret
怪;S6;8;1;Kokoro, Risshinben, Shitagokoro;kai;mystery;aya(shii), aya(shimu);doubt
涯;S6;11;1;Mizu, Sanzui, Shitamizu;gai;shore;-;-
鏡;S6;19;1;Kane, Kanehen;kyoo;mirror;kagami;mirror
核;S6;10;1;Ki, Kihen;kaku;nucleus, core, seed, kernel;-;-
飾;S6;13;1;Shoku, Shokuhen;shoku;ornament, decorate, adorn, embellish;kaza(ru);ornament, decorate, adorn, embellish
嫁;S6;13;1;Onna, Onnahen;ka;marry (a man);yome, totsu(gu);marry off
兼;S6;10;1;Hachi;ken;and, in addition, concurrently;ka(neru);combine with, serve as both
雷;S6;13;1;Ame, Amekanmuri;rai;thunder;kaminari;thunder
勧;S6;13;1;Chikara;kan;recommend, advise, encourage;susu(meru);recommend, advise, encourage
緩;S6;15;1;Ito, Itohen;kan;loosen, lessen;yuru(i), yuru(yaka), yuru(mu), yuru(meru) ;loose, slack
眼;S6;11;1;Me, Mehen;gan, [gen];eye;manako;eye
既;S6;10;1;Munyoo;ki;previously;sude(ni);previously
宜;S6;8;1;Ukanmuri;gi;good, good-natured;-;-
聴;S6;17;1;Mimi, Mimihen;choo;careful inquiry;ki(ku);hear, listen to, learn of
絹;S6;13;1;Ito, Itohen;ken;silk, silk thread;kinu;silk, silk thread
宮;S6;10;1;Ukanmuri;kyuu, guu, [ku];constellations (of the zodiac);miya;Shinto shrine
驚;S6;22;1;Uma, Umahen;kyoo;be surprised;odoro(ku), odoro(kasu);be surprised
筋;S6;12;1;Take, Takekanmuri;kin;muscle, sinew, tendon;suji;muscle
句;S6;5;1;Kuchi, Kuchihen;ku;phrase, clause, sentence, passage, paragraph;-;-
臭;S6;9;1;Mizukara;shuu;odor, savor, fragrance ;kusa(i), nio(u);ill-smelling
懸;S6;20;1;Kokoro, Risshinben, Shitagokoro;ken, [ke];hang;ka(keru), ka(karu);hang
継;S6;13;1;Ito, Itohen;kei;succeed to, inherit;tsu(gu);succeed to, inherit
刑;S6;6;1;Katana, Rittoo;kei;penalty, sentence, punishment;-;-
謙;S6;17;1;Gon, Gonben;ken;humble oneself, condescend, be modest;-;-
倹;S6;10;1;Hito, Ninben, Hitoyane;ken;economy;-;-
拠;S6;8;1;Tehen;kyo, ko;be based on, follow;-;-
項;S6;12;1;Oogai;koo;clause, paragraph;-;-
雌;S6;14;1;Furutori;shi;female;me, mesu;female
盟;S6;13;1;Sara;mei;oath;-;-
喪;S6;12;1;Kuchi, Kuchihen;soo;mourning;mo;mourning
黙;S6;15;1;Kuro;moku;keeping silence;dama(ru);become silent, stop speaking, say nothing 
誠;S6;13;1;Gon, Gonben;sei;admonish, warn;makoto;sincerity, honesty, fidelity
浜;S6;10;1;Mizu, Sanzui, Shitamizu;hin;beach, seashore;hama;beach, seashore
滅;S6;13;1;Mizu, Sanzui, Shitamizu;metsu;be ruined;horo(biru), horo(bosu);be ruined
翻;S6;18;1;Hane;hon;turn over, wave, flutter ;hirugae(ru), hirugae(su);turn over, wave, flutter. change (one's mind)
盆;S6;9;1;Sara;bon;Lantern Festival;-;-
墓;S6;13;1;Tsuchi, Tsuchihen;bo;grave, tomb;haka;grave, tomb
旗;S6;14;1;Hoo, Hoohen;ki;flag, banner, standard, ensign, pennant, streamer;hata;flag, banner, standard, ensign, pennant, streamer
載;S6;13;1;Kuruma, Kurumahen;sai;ride, board, mount;no(seru), no(ru);ride, board, mount
俳;S6;10;1;Hito, Ninben, Hitoyane;hai;actor;-;-
励;S6;7;1;Chikara;rei;be diligent;hage(mu), hage(masu);be diligent. encourage, inspire
懐;S6;16;1;Kokoro, Risshinben, Shitagokoro;kai;heart, feeling;futokoro, natsu(kashii), natsu(kashimu), natsu(ku), natsu(keru);bosom, breast, heart
縄;S6;15;1;Ito, Itohen;joo;rope, cord;nawa;rope, cord
哲;S6;10;1;Kuchi, Kuchihen;tetsu;clear;-;-
訂;S6;9;1;Gon, Gonben;tei;correct;-;-
帝;S6;9;1;Haba, Kinben;tei;emperor;-;-
丁;S6;2;1;Ichi;tei, choo;fourth;-;-
露;S6;21;1;Ame, Amekanmuri;ro, [roo];dew;tsuyu;dew
縦;S6;16;1;Ito, Itohen;juu;length, height;tate;length, height, warp
禅;S6;13;1;Shimesu, Shimesuhen;zen;silent meditation;-;-
滞;S6;13;1;Mizu, Sanzui, Shitamizu;tai;stopping;todokoo(ru);stagnate
姿;S6;9;1;Onna, Onnahen;shi;figure, form, shape;sugata;figure, form, shape
詩;S6;13;1;Gon, Gonben;shi;poem, poetry;-;-
策;S6;12;1;Take, Takekanmuri;saku;plan, scheme, policy;-;-
施;S6;9;1;Hoo, Hoohen;shi, se;give alms;hodoko(su);give alms
祉;S6;8;1;Shimesu, Shimesuhen;shi;happiness;-;-
従;S6;10;1;Gyooninben;juu, [shoo], [ju];secondary, incidental, subordinate, accessory, junior;shitaga(u), shitaga(eru);obey, submit to, comply with, observe (a law)
騒;S6;18;1;Uma, Umahen;soo;make a noise, be boisterous, shout, clamor;sawa(gu);make a noise, be boisterous, shout, clamor
充;S6;6;1;Hitoashi;juu;fill;a(teru);apply, place, put, hit (the mark)
紫;S6;12;1;Ito, Itohen;shi;purple, violet;murasaki;purple, violet
舌;S6;6;1;Shita;zetsu;tongue;shita;tongue
樹;S6;16;1;Ki, Kihen;ju;tree, wood;-;-
