kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
渡;S4;12;3;Mizu, Sanzui, Shitamizu;to;cross, ford, ferry;wata(ru), wata(su);cross, ford, ferry
差;S4;10;3;E, Takumihen;sa;difference, variation;sa(su);raise (the hands)
警;S4;19;3;Gon, Gonben;kei;admonish, warn, prohibit;-;-
察;S4;14;3;Ukanmuri;satsu;presume, surmise;-;-
署;S4;13;2;Amigashira;sho;government office, (police) station;-;-
防;S4;7;2;Kozatohen;boo;defend, protect;fuse(gu);defend, protect
符;S4;11;2;Take, Takekanmuri;fu;sign, mark, tally;-;-
札;S4;5;2;Ki, Kihen;satsu;paper money, counter for bonds, etc;fuda;tag, placard
改;S4;7;2;Nobun;kai;change, modify, convert;arata(meru), arata(maru);change, modify, convert
算;S4;14;2;Take, Takekanmuri;san;divining (block);-;-
精;S4;14;3;Kome, Komehen;sei, [shoo];spirit, ghost, fairy;-;-
停;S4;11;2;Hito, Ninben, Hitoyane;tei;stopping;-;-
換;S4;12;2;Tehen;kan;change, turn, convert, exchange, renew, substitute, replace;ka(eru), ka(waru);change, turn, convert, exchange, renew, substitute, replace
禁;S4;13;2;Shimesu, Shimesuhen;kin;prohibition, ban, embargo;-;-
煙;S4;13;3;Hi, Hihen, Renga;en;smoke;kemu(ru), kemuri, kemu(i);smoke, smolder, be smoky
預;S4;13;2;Oogai;yo;place in custody, deposit, leave with, entrust with, commit to, give ;azu(keru), azu(karu);place in custody, deposit, leave with, entrust with, commit to, give.
常;S4;11;3;Haba, Kinben;joo;normal conditions, regular course of events;tsune, toko;normal conditions, regular course of events
非;S4;8;3;Arazu;hi;mistake;-;-
清;S4;11;2;Mizu, Sanzui, Shitamizu;sei, [shoo];China, Manchu (dynasty);kiyo(i), kiyo(maru), kiyo(meru);purify, cleanse
掃;S4;11;2;Tehen;soo;sweep;ha(ku);sweep
綿;S4;14;2;Ito, Itohen;men;cotton;wata;cotton, cotton wool
募;S4;12;2;Chikara;bo;gather (contributions);tsuno(ru);gather (contributions)
求;S4;7;3;Mizu, Sanzui, Shitamizu;kyuu;want, wish for, request, demand;moto(meru);want, wish for, request, demand
承;S4;8;2;Te;shoo;receive, accept, take, get, obtain;uketamawa(ru);hear, listen to, be informed 
玉;S4;5;2;Tama, Oo;gyoku;gem, jewel, precious stone, jade;tama;ball, bowl, sphere, bulb
個;S4;10;2;Hito, Ninben, Hitoyane;ko;individual;-;-
缶;S4;6;2;Hotogi;kan;can;-;-
詰;S4;13;2;Gon, Gonben;kitsu;be pressed in, be packed, become close;tsu(meru), tsu(maru), tsu(mu);be pressed in, be packed, become close
沸;S4;8;2;Mizu, Sanzui, Shitamizu;futsu;boil, get hot;wa(ku), wa(kasu);boil, get hot
軟;S4;11;2;Kuruma, Kurumahen;nan;soft;yawa(raka), yawa(rakai);soft
等;S4;12;3;Take, Takekanmuri;too;class, grade, degree;hito(shii);equal, similar, alike, equivalent
巻;S4;9;2;Onore;kan;volume, book, part;ma(ku), maki;roll up
混;S4;11;2;Mizu, Sanzui, Shitamizu;kon;mix;ma(jiru), ma(zaru), ma(zeru), ko(mu);mix, blend, mingle
過;S4;12;3;Shinnyoo;ka;excess;su(giru), su(gosu), ayama(tsu), ayama(chi);pass, go past
伸;S4;7;2;Hito, Ninben, Hitoyane;shin;stretching;no(biru), no(basu), no(beru);extend, lengthen, stretch, spread
破;S4;10;3;Ishi, Ishihen;ha;tear, rip, rend;yabu(ru), yabu(reru);tear, rip, rend
助;S4;7;3;Chikara;jo;help, rescue;tasu(keru), tasu(karu), suke;be saved, be rescued, survive
燃;S4;16;2;Hi, Hihen, Renga;nen;burn;mo(eru), mo(yasu), mo(su);burn, blaze, glow
編;S4;15;2;Ito, Itohen;hen;compilation, editing;a(mu);knit, plait, braid, net, weave, twist, crochet
示;S4;5;3;Shimesu, Shimesuhen;ji, shi;indication;shime(su);show, indicate, point out, give (an example), signify, display, express
未;S4;5;3;Ki, Kihen;mi;not yet. un-, not;-;-
印;S4;6;2;Fushizukuri, Warifu;in;seal, stamp, mark;shirushi;sign, mark
刷;S4;8;2;Katana, Rittoo;satsu;print;su(ru);print
除;S4;10;3;Kozatohen;jo, [ji];division (in math);nozo(ku);remove, abolish, cancel
販;S4;11;2;Kai, Kaihen;han;sell, trade;-;-
支;S4;4;3;Shi;shi;branch;sasa(eru);support, maintain, sustain, hold
払;S4;5;3;Tehen;futsu;clear out, sweep away, wipe off, brush off, drive away, banish;hara(u);clear out, sweep away, wipe off, brush off, drive away, banish
額;S4;18;2;Oogai;gaku;tablet, plaque, framed picture;hitai;forehead, brow
超;S4;12;2;Hashiru, Soonyoo;choo;super-, ultra-;ko(eru), ko(su);cross
収;S4;4;3;Mata;shuu;income;osa(meru), osa(maru);obtain, reap
費;S4;12;3;Kai, Kaihen;hi;expenses, cost;tsui(yasu), tsui(eru);spend, consume, waste. become less
